name,label
1.wav,0
2.wav,0
3.wav,0
4.wav,0
5.wav,0
6.wav,0
7.wav,0
8.wav,0
9.wav,0
10.wav,0
11.wav,0
12.wav,0
13.wav,0
14.wav,0
15.wav,0
16.wav,0
17.wav,0
18.wav,0
19.wav,0
20.wav,0
21.wav,0
22.wav,0
23.wav,0
24.wav,0
25.wav,0
26.wav,0
27.wav,0
28.wav,0
29.wav,0
30.wav,0
31.wav,0
32.wav,0
33.wav,0
34.wav,0
35.wav,0
36.wav,0
37.wav,0
38.wav,0
39.wav,0
40.wav,0
41.wav,0
42.wav,0
43.wav,0
44.wav,0
45.wav,0
46.wav,0
47.wav,0
48.wav,0
49.wav,0
50.wav,0
51.wav,0
52.wav,0
53.wav,0
54.wav,0
55.wav,0
56.wav,0
57.wav,0
58.wav,0
59.wav,0
60.wav,0
61.wav,0
62.wav,0
63.wav,0
64.wav,0
65.wav,0
66.wav,0
67.wav,0
68.wav,0
69.wav,0
70.wav,0
71.wav,0
72.wav,0
73.wav,0
74.wav,0
75.wav,0
76.wav,0
77.wav,0
78.wav,0
79.wav,0
80.wav,0
81.wav,0
82.wav,0
83.wav,0
84.wav,0
85.wav,0
86.wav,0
87.wav,0
88.wav,0
89.wav,0
90.wav,0
91.wav,0
92.wav,0
93.wav,0
94.wav,0
95.wav,0
96.wav,0
97.wav,0
98.wav,0
99.wav,0
100.wav,0
101.wav,0
102.wav,0
103.wav,0
104.wav,0
105.wav,0
106.wav,0
107.wav,0
108.wav,0
109.wav,0
110.wav,0
111.wav,0
112.wav,0
113.wav,0
114.wav,0
115.wav,0
116.wav,0
117.wav,0
118.wav,0
119.wav,0
120.wav,0
121.wav,0
122.wav,0
123.wav,0
124.wav,0
125.wav,0
126.wav,0
127.wav,0
128.wav,0
129.wav,0
130.wav,0
131.wav,0
132.wav,0
133.wav,0
134.wav,0
135.wav,0
136.wav,0
137.wav,0
138.wav,0
139.wav,0
140.wav,0
141.wav,0
142.wav,0
143.wav,0
144.wav,0
145.wav,0
146.wav,0
147.wav,0
148.wav,0
149.wav,0
150.wav,0
151.wav,0
152.wav,0
153.wav,0
154.wav,0
155.wav,0
156.wav,0
157.wav,0
158.wav,0
159.wav,0
160.wav,0
161.wav,0
162.wav,0
163.wav,0
164.wav,0
165.wav,0
166.wav,0
167.wav,0
168.wav,0
169.wav,0
170.wav,0
171.wav,0
172.wav,0
173.wav,0
174.wav,0
175.wav,0
176.wav,0
177.wav,0
178.wav,0
179.wav,0
180.wav,0
181.wav,0
182.wav,0
183.wav,0
184.wav,0
185.wav,0
186.wav,0
187.wav,0
188.wav,0
189.wav,0
190.wav,0
191.wav,0
192.wav,0
193.wav,0
194.wav,0
195.wav,0
196.wav,0
197.wav,0
198.wav,0
199.wav,0
200.wav,0
201.wav,0
202.wav,0
203.wav,0
204.wav,0
205.wav,0
206.wav,0
207.wav,0
208.wav,0
209.wav,0
210.wav,0
211.wav,0
212.wav,0
213.wav,0
214.wav,0
215.wav,0
216.wav,0
217.wav,0
218.wav,0
219.wav,0
220.wav,0
221.wav,0
222.wav,0
223.wav,0
224.wav,0
