name,label
1.wav,0
2.wav,0
3.wav,0
4.wav,0
5.wav,0
6.wav,0
7.wav,0
8.wav,0
9.wav,0
10.wav,0
11.wav,0
12.wav,0
13.wav,0
14.wav,0
15.wav,0
16.wav,0
17.wav,0
18.wav,0
19.wav,0
20.wav,0
21.wav,0
22.wav,0
23.wav,0
24.wav,0
25.wav,1
26.wav,1
27.wav,1
28.wav,1
29.wav,1
30.wav,1
31.wav,1
32.wav,1
33.wav,0
34.wav,0
35.wav,0
36.wav,0
37.wav,1
38.wav,1
39.wav,1
40.wav,1
41.wav,1
42.wav,1
43.wav,1
44.wav,1
45.wav,1
46.wav,1
47.wav,1
48.wav,1
49.wav,1
50.wav,1
51.wav,1
52.wav,1
53.wav,0
54.wav,0
55.wav,0
56.wav,0
57.wav,1
58.wav,1
59.wav,1
60.wav,1
61.wav,1
62.wav,1
63.wav,1
64.wav,1
65.wav,1
66.wav,1
67.wav,1
68.wav,1
69.wav,1
70.wav,1
71.wav,1
72.wav,1
73.wav,0
74.wav,0
75.wav,0
76.wav,0
77.wav,0
78.wav,0
79.wav,0
80.wav,0
81.wav,0
82.wav,0
83.wav,0
84.wav,0
85.wav,0
86.wav,0
87.wav,0
88.wav,0
89.wav,0
90.wav,0
91.wav,0
92.wav,0
93.wav,0
94.wav,0
95.wav,0
96.wav,0
97.wav,0
98.wav,0
99.wav,0
100.wav,0
101.wav,0
102.wav,0
103.wav,0
104.wav,0
105.wav,0
106.wav,0
107.wav,0
108.wav,0
109.wav,0
110.wav,0
111.wav,0
112.wav,0
113.wav,0
114.wav,0
115.wav,0
116.wav,0
117.wav,0
118.wav,0
119.wav,0
120.wav,0
121.wav,0
122.wav,0
123.wav,0
124.wav,0
125.wav,0
126.wav,0
127.wav,0
128.wav,0
129.wav,0
130.wav,0
131.wav,0
132.wav,0
